run_name, run_num, time, fittest individual
fitness, 0, 1014.2768659591675, 496.2667007446289run_name, run_num, time, fittest individual
random, 0, 918.2766079902649, 77.26109075546265run_name, run_num, time, fittest individual
fitness, 0, 1465.1205196380615, 618.9548187255859run_name, run_num, time, fittest individual
random, 0, 966.8714997768402, 77.65211486816406run_name, run_num, time, fittest individual
fitness, 0, 1667.1301639080048, 498.98777770996094run_name, run_num, time, fittest individual
random, 0, 1675.494874715805, 76.80188465118408run_name, run_num, time, fittest individual
fitness, 0, 1722.6410179138184, 530.8240737915039run_name, run_num, time, fittest individual
random, 0, 1630.921950340271, 77.88571357727051run_name, run_num, time, fittest individual
fitness, 0, 1408.9005544185638, 237.36879348754883run_name, run_num, time, fittest individual
random, 0, 1092.5108087062836, 76.6758861541748run_name, run_num, time, fittest individual
fitness, 0, 1060.8370044231415, 259.2900390625run_name, run_num, time, fittest individual
random, 0, 925.1595418453217, 75.90659713745117run_name, run_num, time, fittest individual
fitness, 0, 981.6227164268494, 257.4665412902832run_name, run_num, time, fittest individual
random, 0, 893.7249433994293, 77.47107791900635run_name, run_num, time, fittest individual
fitness, 0, 1297.7537393569946, 241.26471710205078run_name, run_num, time, fittest individual
random, 0, 1187.0738272666931, 78.28299522399902run_name, run_num, time, fittest individual
fitness, 0, 1295.7435064315796, 229.31769561767578run_name, run_num, time, fittest individual
random, 0, 898.4790415763855, 77.51192283630371run_name, run_num, time, fittest individual
fitness, 0, 50880.043580532074, 5949.573638916016run_name, run_num, time, fittest individual
fitness, 0, 1317.7124454975128, 280.2538261413574run_name, run_num, time, fittest individual
fitness, 1, 1319.724179983139, 211.36765670776367run_name, run_num, time, fittest individual
random, 0, 1361.54172873497, 77.06118869781494run_name, run_num, time, fittest individual
random, 1, 1394.5241618156433, 77.9034481048584
